"","de","en","es","fr","hu","it","ja","ko","nl","pl","pt","ru","zh-tw","zh","en-gb","tr","uk","cz","sk","th","ro","oc","ar","id","vi","fi"
"TTL.Button:Copy","Kopieren","Copy","Copiar","Copier","Másolás","Copia","コピー","복사","Kopiëren","Kopiuj","Copiar","Копировать","複製","复制","Copy","Kopyala","Копіювати","Kopírovat","Kopírovať","คัดลอก","Copiere","Copiar","ﺦﺴﻧ","Salin","Sao chép",""
"TTL.Button:Add junction to TTL","Kreuzung zur Ampel hinzufügen","Add a junction to this traffic light","Agregar cruce a este conjunto temporizador","Ajouter une intersection à ce feu tricolore","Adjunk egy kereszteződést ehhez a lámpához","Aggiungi un incrocio a questo semaforo","この信号に交差点を追加","이 신호에 교차로 추가","Kruising aan stoplicht toevoegen","Dodaj skrzyżowanie do tego węzła sygnalizacji","Adicionar cruzamento ao semáforo","Добавить перекрёсток в список","將此交岔路口加入號誌燈時相連鎖","向定时红绿灯添加一路口","Add a junction to this traffic light","Seçili kavşağı bu trafik ışığına ekle","Додати перехрестя","Přidat křižovatku do časovaných semaforů","","เพิ่มทางแยกไปยัง TTL","Adăugare intersecție la TTL","","ﻩﺬﻫ ﺭﻭﺮﻤﻟﺍ ﺓﺭﺎﺷﺇ ﻰﻟﺇ ﻕﺮﻃ ﻊﻃﺎﻘﺗ ﻒﺿﺃ","Tambah persimpangan pada lampu lalu lintas berwaktu ini","Thêm giao lộ vào bộ hẹn giờ",""
"TTL.Button:Remove junction from TTL","Kreuzung von der Ampel entfernen","Remove a junction from this traffic light","Remover cruce de este conjunto temporizador","Retirer une intersection de ce feu tricolore","Távolítson el egy kereszteződést ebből a lámpából","Rimuovi un incrocio da questo semaforo","この信号から交差点を削除","이 신호에서 교차로 제거","Kruising van stoplicht verwijderen","Wyklucz skrzyżowanie z tego węzła sygnalizacji","Remover cruzamento do semáforo","Убрать перекрёсток из списка","將此交岔路口移出號誌燈時相連鎖","从定时红绿灯移除一路口","Remove a junction from this traffic light","Seçili kavşağı bu trafik ışığından kaldır","Видалити перехрестя","Odstranit křižovatku z časovaných semaforů","","ลบทางแยกออกจาก TTL","Elimină intersecție de la TTL","","ﻩﺬﻫ ﺭﻭﺮﻤﻟﺍ ﺓﺭﺎﺷﺇ ﻦﻣ ﻊﻃﺎﻘﺗ ﺔﻟﺍﺯﺇ","Hapuskan persimpangan dari lampu lalu lintas berwaktu ini","Xóa giao lộ khỏi đèn giao thông này",""
"TTL.Button:Remove entire TTL","Ampel entfernen","Remove timed traffic light","Borrar semáforo programado","Retirer le chronométrage","Távolítsa el az időzített lámpát","Rimuovi semaforo temporizzato","時間設定付き信号の削除","설정된 신호등 시간표 제거","Stoplichten verwijderen","Usuń sygnalizację czasową","Remover semáforo cronometrado","Выключить настраиваемый светофор","移除號誌燈時相設定","删除红绿灯定时设置","Remove timed traffic light","Süreli trafik ışığını kaldır","Видалити всі світлофори групи","Odstranit skript řízení semaforů","","ลบ TTL ทั้งหมด","Elimină întreg TTL","","ﺔﺗﻮﻗﻮﻤﻟﺍ ﺭﻭﺮﻤﻟﺍ ﺓﺭﺎﺷﺇ ﺔﻟﺍﺯﺇ","Hapuskan lampu lalu lintas berwaktu","Xóa hẹn giờ đèn giao thông",""
"TTL.Label:After min. time go to next step if","Wenn die min. Zeit abläuft, wechsle zum nächsten Schritt falls","After min. time has elapsed, switch to next step if","After min. time has elapsed, switch to next step if","Après le temps minimum écoulé, passez à l'étape suivante si","Ha a min. idő lejár, folytassa a következő lépéssel, ha","Dopo che è trascorso il tempo minimo, passare alla fase successiva se","最小時間が経過した後、次のステップに切り替える条件","최소시간 경과후 다음단계로 넘어갑니다 :","Achter min. tijd is verstreken, wissel naar de volgende stap als","Po upływie min. czasu, przejdź do następnego kroku","Após o término do tempo mínimo, passar para o próximo passo caso","После мин. ожидания, перейти на следующий шаг, если","超過最短時間時，符合以下條件時號誌燈切換至下一階段","在预设最短时长过后, 跳转至下一步骤, 如果","After min. time has elapsed, switch to next step if","Asgari süre geçtikten sonra sıradaki aşamaya geç eğer","Після мін. часу перейти до наступного кроку, якщо","Po uplynutí minimálního časového úseku, přejde na další krok pokud","","หลังจากนาที เวลาไปที่ขั้นตอนต่อไปถ้า","După min. timp mergeți la pasul următor dacă","","ﻥﺎﻛ ﺍﺫﺇ ﺔﻴﻟﺎﺘﻟﺍ ﺓﻮﻄﺨﻟﺍ ﻰﻟﺇ ﻞﻘﺘﻧﺍ ﻲﻧﺩﻻﺍ ﺖﻗﻮﻟﺍ ﺀﺎﻬﺘﻧﺍ ﺪﻌﺑ","Setelah waktu min. telah lewat, pindah ke langkah selanjutnya jika","Sau thời gian tối thiểu, hãy chuyển sang giai đoạn đèn tiếp theo nếu...",""
"TTL.Label:Flow sensitivity","Empfindlichkeit","Flow sensitivity","Sensibilidad","Sensibilité","Haladás érzékenysége","Sensibilità al flusso","感度","흐름 감도","Gevoeligheid","Czułość","Sensibilidade","Чувствительность","靈敏度","车流量灵敏度","Flow sensitivity","Akış hassaslığı","Чутливість до потоку","Citlivost na provozu","Citlivosť premávky","ความไวในการไหล","Sensibilitate flux","","ﻖﻓﺪﺘﻟﺍ ﺔﻴﺳﺎﺴﺣ","Sensitivitas aliran","Độ mượt của lưu thông",""
"TTL.Label:Low","Niedrig","Low","Baja","Basse","Alacsony","Bassa","低い","낮음","Laag","Niska","Baixa","Низкая","低","低","Low","Düşük","Низька","Nízký","Nízke","ต่ำ","Mică","Bassa","ﺾﻔﺨﻨﻣ","Rendah","Thấp",""
"TTL.Label:High","Hoch","High","Alta","Haute","Magas","Alta","高い","높음","Hoog","Wysoka","Alta","Высокая","高","高","High","Yüksek","Висока","Vysoký","Vysoké","สูง","Mare","Nauta","ﻲﻟﺎﻋ","Tinggi","Cao",""
"TTL.Window.Title:Select nodes","Auswahl der Kreuzungen","Select nodes","Seleccionar cruces","Sélection des intersections","Válassza ki a csomópontokat","Seleziona nodi","交差点の選択","선택된 교차로 목록","Kruisingselectie","Wybór węzłów","Selecione um cruzamento","Список узлов","請點選道路交岔點","请选择节点","Select nodes","Boğumları seçin","Виберіть перехрестя для початку","Zvolte si uzle","","เลือก Nodes","Noduri selectate","","ﺔﻄﻘﻧ ﺩﺪﺣ","Pilih titik-titik hubung","Chọn nút",""
"Dialog.Title:Timed traffic lights manager","Verwaltung zeitgesteuerter Ampeln","Timed traffic lights manager","Administrador de semáforos programados","Gestionnaire de feux tricolores chronométrés","Időzített lámpák kezelője","Gestore dei semafori temporizzati","時間設定付き信号の管理","신호등 시간표 관리자","Beheer van tijdgestuurde stoplichten","Menedżer Sygnalizacji czasowej","Gerenciador de semáforos cronometrados","Управление настраиваемым светофором","號誌燈時相設定工具","定时红绿灯设置工具","Timed traffic lights manager","Süreli trafik ışığı yöneticisi","Керування групою світлофорів з таймером","Správce časových semaforů","","ผู้จัดการสัญญาณไฟจราจรตามกำหนดเวลา","Manager de semafoare sincronizate","","ﺔﺘﻗﻮﻤﻟﺍ ﺭﻭﺮﻤﻟﺍ ﺕﺍﺭﺎﺷﺇ ﺓﺭﺍﺩﺇ","Manager lampu lalu lintas berwaktu","Quản lý hẹn giờ đèn giao thông",""
"TTL.Window.Title:Paste","Einfügen","Paste settings","Pegar","Coller","Beillesztés","Incolla","貼り付け","설정 붙여넣기","Invoegen","Wklej","Colar","Вставить настройки","貼上","粘贴","Paste settings","Yapıştırma ayarları","Вставити","Vložit nastavení semaforu","Vložiť nastavenie semaforu","วาง","Lipește","","ﺝﺍﺭﺩﺇ","Tempel setelan","Dán cài đặt",""
"Label:Select nodes","Wähle eine oder mehrere Kreuzungen aus","Select nodes","Seleccionar cruces","Sélectionnez des intersections","Válassza ki a csomópontokat","Seleziona nodi","交差点を選択してください","노드 선택","Selecteert één of meerdere punten","Wybierz węzły","Selecione cruzamento(s)","Выберите перекрёстки","請點選道路節點","请选择一个或多个节点","Select nodes","Boğum seç","Виберіть перехрестя або вузол","Vyberte uzly","","เลือก nodes","Selectați noduri","","ﻊﻃﺎﻘﺗ ﺩﺪﺣ","Pilih titik-titik hubung","Chọn nút",""
"TTL.Label.Format:Node {0}","Knotenpunkt {0}","Node {0}","Nodo {0}","Intersection {0}","Csomópont {0}","Nodo {0}","交差点 {0}","노드 {0}","Punten {0}","Węzeł {0}","Cruzamento {0}","Узел {0}","道路節點 {0}","节点 {0}","Node {0}","Boğum {0}","Вузол {0}","Uzel {0}","","Node {0}","Nodul {0}","","{0} ﻊﻃﺎﻘﺗ","Titik hubung {0}","Nút giao {0}",""
"TTL.Button:Deselect all nodes","Alle Kreuzungen abwählen","Deselect all nodes","Deseleccionar todos los nodos","Désélectionner toutes les intersections","Összes csomópont kijelölésének megszüntetése","Deseleziona tutti i nodi","全交差点の選択を解除","모든 노드 선택 취소","Deselecteer alle punten","Odznacz wszystkie węzły","Cancelar a seleção de todos os cruzamentos","Очистить список","取消選擇所有道路節點","取消选择所有节点","Deselect all nodes","Tüm boğumları seçimden çıkart","Очистити обрані вузли","Zrušit výběr všech uzlů","","ยกเลิกการเลือก node ทั้งหมด","Deselectează toate nodurile","","ﺕﺎﻌﻃﺎﻘﺘﻟﺍ ﺔﻓﺎﻛ ﺪﻳﺪﺤﺗ ﺀﺎﻐﻟﺈﺑ ﻢﻗ","Batal pilih semua titik hubung","Bỏ chọn tất cả nút",""
"TTL.Button:Setup timed traffic light","Zeitgesteuerte Ampel einrichten","Setup timed traffic light","Ajustar semáforos programados","Créer un chronométrage des feux","Időzített jelzőlámpa beállítása","Imposta semaforo temporizzato","時間設定付き信号の設定","신호등 시간표 설정","Tijdgestuurde stoplichten inrichten","Ustaw czasową sygnalizację świetlną","Criar semáforo cronometrado","Настройка режимов светофора","設定號誌燈時相","设置定时红绿灯","Setup timed traffic light","Süreli trafik ışığı kur","Налагодити групу світлофорів","Nastavení časování semaforu","Nastaviť časovanie semaforu","ตั้งค่าสัญญาณไฟจราจรตามกำหนดเวลา","Configurare semaforizare sincronizată","","ﺔﺘﻗﻮﻣ ﺭﻭﺮﻣ ﺓﺭﺎﺷﺇ ﺩﺍﺪﻋﺇ","Atur lampu lalu lintas berwaktu","Đặt hẹn giờ đèn giao thông",""
"TTL.FlowBalance:Extreme long green/red phases","Extrem lange Rot-/Grünphasen","Extreme long green/red phases","Fases verde/rojo extremadamente largas","Phases rouge/vert extrêmement longues","Rendkívül hosszú zöld / piros fázis","Passaggio tra verde e rosso estremamente lungo","混雑してきてもほとんど切り替えない","극도로 긴 신호등 주기 변화","Extreem lange groen-/roodfasen","Ekstremalnie długi ziel./czerw.","Fases verde/vermelho extremamente longa","Чрезвыч. долгие фазы зелёный/красный","最長的紅、綠燈時相","极长的红绿灯时间","Extreme long green/red phases","Aşırı uzun yeşil/kırmızı aşamaları","Надзвичайно довгі фази зелений/червоний","Extrémně dlouhé střídání zelené/červené","Extrémne dlhé trvanie zelenej a červenej","ระยะสีเขียว / แดงที่ยาวมาก","Timpul fazelor semaforului sunt extrem de lungi","","ﺮﻀﺧﺍ/ﺮﻤﺣﺍ ﺍﺪﺟ ﺔﻠﻳﻮﻃ ﺭﻭﺮﻤﻟﺍ ﺓﺭﺎﺷﺇ ﺓﺭﻭﺩ ﺓﺮﺘﻓ","Fase hijau/merah yang sangat sangat panjang","Chu kỳ đèn cực kỳ dài",""
"TTL.FlowBalance:Very long green/red phases","Sehr lange Rot-/Grünphasen","Very long green/red phases","Fases verde/rojo muy largas","Phases rouge/vert très longues","Nagyon hosszú zöld / piros fázis","Passaggio verde/rosso molto lungo","混雑してきてもあまり切り替えない","매우 긴 신호등 주기 변화","Zeer lange groen-/roodfasen","Bardzo długi ziel./czerw.","Fases verde/vermelho muito longa","Очень долгие фазы зелёный/красный","非常長的紅、綠燈時相","非常长的红绿灯时间","Very long green/red phases","Çok uzun yeşil/kırmızı aşamaları","Дуже довгі фази зелений/червоний","Velmi dlouhé střídání zelené a červené","Veľmi dlhé trvanie zelenej a červenej","ระยะสีเขียว / แดงที่ยาวมาก","Timpul fazelor semaforului sunt foarte lungi","","ﺮﻀﺧﺍ/ﺮﻤﺣﺍ ﺔﻠﻳﻮﻃ ﺭﻭﺮﻤﻟﺍ ﺓﺭﺎﺷﺇ ﺓﺭﻭﺩ ﺓﺮﺘﻓ","Fase hijau/merah yang sangat panjang","Chu kỳ đèn rất dài",""
"TTL.FlowBalance:Long green/red phases","Lange Rot-/Grünphasen","Long green/red phases","Fases verde/rojo largas","Phases rouge/vert longues","Hosszú zöld / piros fázis","Passaggio tra verde e rosso lungo","混雑具合によってそこそこに切り替える","긴 신호등 주기 변화","Lange groen-/roodfasen","Długi ziel./czerw.","Fases verde/vermelho longa","Долгие фазы зелёный/красный","稍長的紅、綠燈時相","较长的红绿灯时间","Long green/red phases","Uzun yeşil/kırmızı aşamaları","Довгі фази зелений/червоний","Dlouhé střídání zelené/červené","Dlhé trvanie zelenej a červenej","ระยะสีเขียว / แดงยาว","Culorile de semafoare sunt lungi","","ﺮﻀﺧﺍ/ﺮﻤﺣﺍ ﻼﻴﻠﻗ ﺔﻠﻳﻮﻃ ﺭﻭﺮﻤﻟﺍ ﺓﺭﺎﺷﺇ ﺓﺭﻭﺩ ﺓﺮﺘﻓ","Fase hijau/merah yang panjang","Chu kỳ đèn dài",""
"TTL.FlowBalance:Moderate green/red phases","Moderate Rot-/Grünphasen","Moderate green/red phases","Fases verde/rojo moderadas","Phases rouge/vert moyennement longues","Mérsékelt zöld / piros fázis","Passaggio tra verde e rosso moderato","混雑具合によって適度に切り替える","평범한 신호등주기 변화","Normale groen-/roodfasen","Średni okres ziel./czerw.","Fases verde/vermelho moderada","Умеренные фазы зелёный/красный","中等的紅、綠燈時相","适当的红绿灯时间","Moderate green/red phases","Orta karar yeşil/kırmızı aşamaları","Помірні фази зелений/червоний","Průměrné střídání zelené/červené","Stredne dlhé trvanie zelenej a červenej","ระยะสีเขียว / แดงปานกลาง","Timpul fazelor semaforului sunt moderate","","ﺮﻀﺧﺍ/ﺮﻤﺣﺍ ﺔﻟﺪﺘﻌﻣ ﺭﻭﺮﻤﻟﺍ ﺓﺭﺎﺷﺇ ﺓﺭﻭﺩ ﺓﺮﺘﻓ","Fase hijau/merah yang tidak terlalu panjang","Chu kỳ đèn trung bình",""
"TTL.FlowBalance:Short green/red phases","Kurze Rot-/Grünphasen","Short green/red phases","Fases verde/rojo cortas","Phases rouge/vert courtes","Rövid zöld / piros fázis","Passaggio tra verde e rosso breve","混雑具合によって細かく切り替える","짧은 신호등주기 변화","korte groen-/roodfasen","Krótki ziel./czerw.","Fases verde/vermelho curta","Короткие фазы зелёный/красный","稍短的紅、綠燈時相","较短的红绿灯时间","Short green/red phases","Kısa yeşil/kırmızı aşamaları","Короткі фази зелений/червоний","Krátké střídání zelené/červené","Krátke trvanie zelenej a červenej","ระยะสีเขียว / แดง สั้น","Timpul fazelor semaforului sunt scurte","","ﺮﻀﺧﺍ/ﺮﻤﺣﺍ ﻪﻌﻳﺮﺳ ﺭﻭﺮﻤﻟﺍ ﺓﺭﺎﺷﺇ ﺓﺭﻭﺩ ﺓﺮﺘﻓ","Fase hijau/merah yang pendek","Chu kỳ đèn ngắn",""
"TTL.FlowBalance:Very short green/red phases","Sehr kurze Rot-/Grünphasen","Very short green/red phases","Fases verde/rojo muy cortas","Phases rouge/vert très courtes","Nagyon rövid zöld / piros fázis","Passaggio tra verde e rosso moltobreve","混雑具合によってとても細かく切り替える","매우 짧은 신호등주기 변화","Zeer korte groen-/roodfasen","Bardzo krótki ziel./czerw.","Fases verde/vermelho muito curta","Очень короткие фазы зелёный/красный","非常短的紅、綠燈時相","非常短的红绿灯时间","Very short green/red phases","Çok kısa yeşil/kırmızı aşamaları","Дуже короткі фази зелений/червоний","Velmi krátké fáze zelené/červené","Veľmi krátke trvanie zelenej a červenej","ระยะสีเขียว / แดงสั้นมาก","Timpul fazelor semaforului sunt foarte scurte","","ﺮﻀﺧﺍ/ﺮﻤﺣﺍ ﺍﺪﺟ ﻪﻌﻳﺮﺳ ﺭﻭﺮﻤﻟﺍ ﺓﺭﺎﺷﺇ ﺓﺭﻭﺩ ﺓﺮﺘﻓ","Fase hijau/merah yang sangat pendek","Chu kỳ đèn rất ngắn",""
"TTL.FlowBalance:Extreme short green/red phases","Extrem kurze Rot-/Grünphasen","Extreme short green/red phases","Fases verde/rojo extremadamente cortas","Phases rouge/vert extrêmement courtes","Rendkívül rövid zöld / piros fázis","Passaggio tra verde e rosso estremamente breve","混雑具合によって非常に細かく切り替える","극도로 짧은 신호등주기 변화","Extreem korten groen-/roodfasen","Ekstremalnie krótki ziel./czerw.","Fases verde/vermelho extremamente curta","Чрезвыч. короткие фазы зелёный/красный","最短的紅、綠燈時相","极短的红绿灯时间","Extreme short green/red phases","Aşırı kısa yeşil/kırmızı aşamaları","Надзвичайно короткі фази зелений/червоний","Extrémně krátké střídání zelené/červené","Extrémne krátke trvanie zelenej a červenej","ระยะสีเขียว / แดงสั้นมาก","Timpul fazelor semaforului sunt extrem de scurte","","ﺮﻀﺧﺍ/ﺮﻤﺣﺍ ﺔﻋﺮﺴﻟﺍ ﺔﻘﺋﺎﻓ ﺭﻭﺮﻤﻟﺍ ﺓﺭﺎﺷﺇ ﺓﺭﻭﺩ ﺓﺮﺘﻓ","Fase hijau/merah yang sangat sangat pendek","Chu kỳ đèn cực kỳ ngắn",""
"TTL.Label.Format:Segment {0}","Segment {0}","Segment {0}","Segmento {0}","Segment {0}","Szegmens {0}","Segmento {0}","道路 {0}","세그먼트 {0}","Segment {0}","Segment {0}","Segmento {0}","Сегмент {0}","路段 {0}","路段 {0}","Segment {0}","Boğum {0}","Сегмент {0}","Segment {0}","Úsek {0}","Segment {0}","Segment {0}","","{0} ﻊﻄﻘﻤﻟﺍ","Bagian jalan {0}","Đoạn đường {0}",""
"Dialog.Text:Auto TL create failed because","Zeitgesteuerte Ampel konnte nicht automatisch erstellt werden, weil","Failed to create TTL because","Fallo al crear TTL debido a","La création automatique de feux a échoué car","Automatikus jelzőlámpa nem adható hozzá, mert","La creazione dei semafori è fallita perché","TTLを作成できませんでした","신호등 시간표를 생성하지 못함:","Auto TL aanmaken mislukt omdat","Nie udało sie utworzyć Sygnalizacji czasowej ponieważ","A criação automática de semáforos falhou porque","Не удалось создать светофор с таймером автоматически, потому что","建立自動化號誌失敗，因為","创建<定时红绿灯>失败, 原因:","Failed to create TTL because","STI oluşturma başarısız oldu çünkü","Не вдалося створити світлофор з таймером автоматично, тому що","Selhalo vytvoření časového semaforu z důvodu","","การสร้าง TL อัตโนมัติล้มเหลวเนื่องจาก","Creare Auto TL a eșuat deoarece","","ﺐﺒﺴﺑ ﺭﻭﺮﻤﻟﺍ ﺓﺍﺭﺎﺷﻹ ﻲﺋﺎﻘﻠﺗ ﺀﺎﺸﻧﺇ ﻞﺸﻓ","Gagal membuat lampu lalu lintas berwaktu karena","Thất bại khi hẹn giờ đèn giao thông do",""
"Dialog.Text:Auto TL no need","Schnelleinrichtung wird nicht unterstützt","Quick-setup is not supported","Configuración rápida no soportada","Création automatique de feux inutile","Gyorsbeállítás nem támogatott","La configurazione rapida non è supportata","クイックセットアップはサポートされていません","빠른 설정이 지원되지 않습니다","Auto TL niet nodig","wybrane skrzyżowanie go nie potrzebuje.","Não é necessária a criação de semáforos","нет потребности в светофоре на этом перекрёстке","不需自動化號誌","不支持使用<快速设置>","Quick-setup is not supported","Hızlı kurulum desteklenmiyor","немає потреби в такому світлофорі на цьому перехресті","Rychlé nastavení není k dispozici","","ไม่จำเป็นต้องใช้ TL อัตโนมัติ","Auto TL nu este necesar","","ﻡﻮﻋﺪﻣ ﺮﻴﻏ ﻊﻳﺮﺴﻟﺍ ﺩﺍﺪﻋﻹﺍ","Penyetelan cepat tidak didukung","Thiết lập nhanh không được hỗ trợ",""
"ManualTL.Mode:Select","Auswählen","Choose a junction to perform manual traffic light control","Selecciona un cruce para controlar el semáforo de forma manual","Sélectionnez","Válasszon egy csomópontot a kézi jelzőlámpa-vezérlés beállításához","Seleziona","交差点を選択して手動信号機制御を実行します","수동 신호등 제어를 수행할 교차로 선택","Selecteer","Wybierz skrzyżowanie, aby ręcznie zarządzać sygnalizacją świetlną","Escolha um cruzamento para controlar os semáforos manualmente","Выберите перекрёсток","選取","选择一个路口进行手动控制红绿灯","Choose a junction to perform manual traffic light control","Seçin","Оберіть перехрестя для редагування","Zvolit","Vybrať","เลือก","Selectați","","ﺭﻭﺮﻤﻟﺍ ﺓﺭﺎﺷﺇ ﻲﻓ ﻱﻭﺪﻳ ﻢﻜﺤﺗ ﺀﺍﺮﺟﻹ ﻕﺮﻃ ﻊﻃﺎﻘﺗ ﺮﺘﺧﺍ","Pilih sebuah persimpangan untuk mengambil alih lampu lalu lintas","Chọn một giao lộ để điều khiển thủ công đèn giao thông",""
"ManualTL.Mode:Edit","Bearbeiten","Click controls to set traffic light state","Haz clic en los controles para configurar el estado del semáforo","Modifier","Kattintson a vezérlőkre a közlekedési lámpa állapotának beállításához","Modifica","コントロールをクリックして信号機の状態を設定します","제어를 눌러 신호등 상태 설정","Bewerk","Kliknij kontrolkę, aby zmienić stan sygnalizatora","Clique nos controles para mudar o estado do semáforo","Создайте или настройте систему светофоров","編輯","点击红绿灯控件实时设置红绿灯状态","Click controls to set traffic light state","Düzenle","Змінюйте параметри світлофору","Upravit","Upraviť","แก้ไข","Editare","","ﺭﻭﺮﻤﻟﺍ ﺓﺭﺎﺷﺇ ﺔﻟﺎﺣ ﻦﻴﻴﻌﺘﻟ ﻢﻜﺤﺘﻟﺍ ﺮﺻﺎﻨﻋ ﻕﻮﻓ ﺮﻘﻧﺍ","Klik pada hamparan untuk mengubah status lampu.","Nhấp vào đèn để thiết đặt trạng thái",""
"ToggleTL.Mode:Click to toggle","Zum Umschalten klicken","Click junctions to toggle traffic lights","Haz clic en los cruces para alternar semáforos","Cliquez pour basculer","Kattintson a csomópontokra a közlekedési lámpák átkapcsolásához","Clicca per attivare/disattivare","交差点をクリックして信号を切り替えます","교차로를 눌러 신호등 토글","Klik op knooppunten om verkeerslichten in- of uit te schakelen","Kliknij na wybranym skrzyżowaniu aby wł/wył sygnalizację świetlną","Clique nos cruzamentos para alternar os semáforos","Нажмите на перекрёсток для переключения светофора","點選並切換","点击路口进行增删红绿灯","Click junctions to toggle traffic lights","Ayarlamak için tıkla","Натискайте на перехрестя для переключення світлофору","Klikněte pro přepnutí","","คลิกเพื่อสลับ","","","ﺭﻭﺮﻤﻟﺍ ﺕﺍﺭﺎﺷﺇ ﺡﺎﺘﻔﻤﻟ ﺕﺎﻌﻃﺎﻘﺘﻟﺍ ﻕﻮﻓ ﺮﻘﻧﺍ","Pilih persimpangan untuk aktifkan/nonaktifkan lampu lalu lintas","Nhấp vào giao lộ để ẩn hiện đèn giao thông",""
"TimedTL.CtrlClick:Quick setup","Schnelles Einrichten","Quick setup","Configuración rápida","Configuration rapide","Gyors beállítás","Configurazione rapida","クイックセットアップ","빠른 설정","Snelle setup","Szybka konfiguracja","Configuração rápida","Быстрая настройка светофора с таймером","快速設定","快速设置","Quick setup","Kısayollar","Швидке створення світлофору з таймером","Zobrazí se spolu s nápovědou na obrazovce ""Ctrl+Click Quick setup""","Rýchle nastavenie","ติดตั้งแบบรวดเร็ว","","","ﻊﻳﺮﺴﻟﺍ ﺖﻴﺒﺜﺘﻟﺍ","Penyetelan cepat","Thiết lập nhanh",""
"TimedTL.AltCtrlClick:Alternate Quick setup","","Alternate Quick setup","","","","TimedTL.AltCtrlClick:Configurazione rapida alternativa","","","","Alternatywna szybka konfiguracja","","","","","Alternate Quick setup","","","","","","","","","","",""
